,City Name,Latitude,Longitude,Hotel Name
3,georgetown,5.41,100.34,
6,hermanus,-34.42,19.23,
19,necochea,-38.55,-58.74,
24,san vicente,-26.62,-54.13,
38,lompoc,34.64,-120.46,
58,kaeo,-35.1,173.78,
62,santa rosa,14.31,121.11,
71,luanda,-8.84,13.23,
98,upata,8.01,-62.4,
104,souillac,-20.52,57.52,
116,saint-philippe,-21.36,55.77,
131,wewak,-3.55,143.63,
135,esperantina,-3.9,-42.23,
138,mahebourg,-20.41,57.7,
142,bambous virieux,-20.34,57.76,
144,harper,4.38,-7.72,
145,tabou,4.42,-7.35,
156,providencia,28.72,-111.58,
161,port hedland,-20.32,118.57,
167,bombay,19.01,72.85,
168,avarua,-21.21,-159.78,
172,vilhena,-12.74,-60.15,
180,butterworth,5.4,100.36,
183,singaraja,-8.11,115.09,
190,kathu,7.92,98.33,
192,saint-pierre,-21.34,55.48,
199,port blair,11.67,92.75,
219,marang,5.21,103.21,
234,gladstone,-23.85,151.25,
244,impfondo,1.64,18.07,
249,sindou,10.67,-5.17,
259,guerrero negro,27.98,-114.06,
287,maneadero,31.72,-116.57,
292,banes,20.96,-75.72,
298,olinda,-8.01,-34.86,
323,santa fe,-31.63,-60.7,
325,kedougou,12.56,-12.17,
336,ballina,-28.87,153.57,
349,caraballeda,10.61,-66.85,
353,mitsamiouli,-11.38,43.28,
359,kingman,35.19,-114.05,
362,sao filipe,14.9,-24.5,
367,itarema,-2.92,-39.92,
387,ngunguru,-35.62,174.5,
392,gayeri,12.65,0.49,
399,mackay,-21.15,149.2,
403,manzanillo,20.34,-77.12,
407,takoradi,4.88,-1.76,
410,brownsville,25.9,-97.5,
413,caraguatay,-26.61,-54.78,
418,namatanai,-3.67,152.43,
432,saint-joseph,-21.37,55.62,
433,moron,-34.65,-58.62,
438,mana,5.66,-53.78,
455,oussouye,12.48,-16.55,
457,domoni,-12.26,44.53,
460,phangnga,8.45,98.53,
464,shakawe,-18.37,21.85,
474,singarayakonda,15.25,80.03,
491,touros,-5.2,-35.46,
509,san jose de rio tinto,14.93,-85.7,
513,grande riviere du nord,19.58,-72.18,
522,carrefour,18.54,-72.4,
527,ranong,9.97,98.63,
